TaskID	GiftID	GiftType	TaskType	RequestTime	Responsible
_____________________________________________________________________________________
1	1	3		A			1		B
2	2	1		C			2		A
3	3	4		Q			3		S
4	3	4		P			3		A
5	1	3		C			3		A
6	4	1		C			4		A
7	2	1		D			4		S
8	5	4		Q			5		S
9	5	4		P			5		A
10	6	3		A			6		B
11	7	3		A			7		B
12	8	2		P			8		A
13	9	1		C			9		A
14	10	1		C			10		A
15	11	1		C			11		A
16	12	2		P			12		A
17	13	1		C			13		A
18	14	2		P			14		A
19	15	1		C			15		A
20	18	4		P			18		A
21	18	4		Q			18		S
22	19	2		P			19		A
23	20	1		C			20		A
24	21	1		C			21		A
25	22	1		C			22		A
26	23	3		A			23		B
27	3	4		C			24		A
28	25	1		C			25		A
29	1	3		D			25		S
30	26	1		C			26		A
31	4	1		D			26		S
32	27	2		P			27		A
33	28	1		C			28		A
34	29	1		C			29		A
35	30	1		C			30		A
36	31	3		A			31		B
37	32	1		C			32		A
38	33	1		C			33		A
39	34	1		C			34		A
40	36	1		C			36		A
41	37	1		C			37		A
42	38	3		A			38		B
43	39	1		C			39		A
44	40	2		P			40		A
45	41	1		C			41		A
