TaskID	GiftID	GiftType	TaskType	RequestTime	Responsible
_____________________________________________________________________________________
1	1	3		A			2		B
2	2	1		C			2		A
3	3	4		P			3		A
4	3	4		Q			3		S
5	1	3		C			4		A
6	4	1		C			5		A
7	2	1		D			5		S
8	5	4		Q			6		S
9	5	4		P			6		A
10	6	3		A			7		B
11	7	3		A			8		B
12	8	2		P			9		A
13	9	1		C			10		A
14	3	4		C			11		A
15	10	1		C			11		A
16	11	1		C			12		A
17	1	3		D			12		S
18	12	2		P			13		A
19	4	1		D			13		S
20	13	1		C			14		A
21	14	2		P			15		A
22	15	1		C			16		A
23	16	1		C			17		A
24	17	1		C			18		A
25	18	4		P			19		A
26	18	4		Q			19		S
27	5	4		C			20		A
28	19	2		P			20		A
29	20	1		C			21		A
30	21	1		C			22		A
31	6	3		C			22		A
32	22	1		C			23		A
33	23	3		A			24		B
34	7	3		C			24		A
35	24	1		C			25		A
36	25	1		C			26		A
37	26	1		C			27		A
38	8	2		C			28		A
39	27	2		P			28		A
40	9	1		D			29		S
41	28	1		C			29		A
42	3	4		D			30		S
43	30	1		C			30		A
44	30	1		C			30		A
45	10	1		D			31		S
46	31	1		C			31		A
47	32	3		A			32		B
48	11	1		D			32		S
49	33	1		C			33		A
50	34	1		C			34		A
51	35	1		C			35		A
52	36	1		C			36		A
53	12	2		C			37		A
54	37	1		C			37		A
55	38	1		C			38		A
56	13	1		D			39		S
57	39	3		A			39		B
58	40	1		C			40		A
59	41	2		P			41		A
60	42	1		C			42		A
61	14	2		C			43		A
62	43	2		P			43		A
63	15	1		D			44		S
64	44	1		C			44		A
65	16	1		D			45		S
66	45	1		C			45		A
67	17	1		D			46		S
68	46	3		A			46		B
69	47	1		C			47		A
70	48	3		A			48		B
71	49	4		Q			49		S
72	49	4		P			49		A
