TaskID	GiftID	GiftType	TaskType	RequestTime	Responsible
_____________________________________________________________________________________
1	1	3		A			1		B
2	2	1		C			2		A
3	3	4		P			3		A
4	3	4		Q			3		S
5	1	3		C			3		A
6	4	1		C			4		A
7	2	1		D			4		S
8	5	4		P			5		A
9	5	4		Q			5		S
10	6	3		A			6		B
11	7	3		A			7		B
12	8	2		P			8		A
13	9	1		C			9		A
14	10	1		C			10		A
15	3	4		C			10		A
16	11	1		C			11		A
17	1	3		D			11		S
18	12	2		P			12		A
19	4	1		D			12		S
20	13	1		C			13		A
21	14	2		P			14		A
22	15	1		C			15		A
23	18	4		P			18		A
24	18	4		Q			18		S
25	19	2		P			19		A
26	5	4		C			19		A
27	20	1		C			20		A
28	21	1		C			21		A
29	6	3		C			21		A
30	22	1		C			22		A
31	23	3		A			23		B
32	7	3		C			23		A
33	25	1		C			25		A
34	26	1		C			26		A
35	27	2		P			27		A
36	8	2		C			27		A
37	28	1		C			28		A
38	9	1		D			28		S
39	29	1		C			29		A
40	10	1		D			29		S
41	30	1		C			30		A
42	3	4		D			30		S
43	31	3		A			31		B
44	11	1		D			31		S
45	32	1		C			32		A
46	33	1		C			33		A
47	34	1		C			34		A
48	36	1		C			36		A
49	12	2		C			36		A
50	37	1		C			37		A
51	38	3		A			38		B
52	13	1		D			38		S
53	39	1		C			39		A
54	40	2		P			40		A
55	41	1		C			41		A
